genre,frequency
Crime,19
Drama,51
Thriller,14
Animation,6
Comedy,28
Family,4
Sport,3
Action,33
Adventure,25
Fantasy,10
Sci-Fi,11
Documentary,2
Horror,10
Mystery,8
Biography,8
History,6
Romance,13
Western,1
Musical,2
Music,2
Film-Noir,1
